no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,712,1,4,9,54,LS,105,49,58,BT
2,712,2,3,25,32,LS,107,57,57,BT
3,712,3,3,4,22,LS,110,12,39,BT
4,712,4,3,2,43,LS,110,38,30,BT
5,712,5,3,2,18,LS,110,38,50,BT
6,712,6,3,51,28,LS,115,22,59,BT
7,712,7,4,43,1,LS,115,42,38,BT
8,712,8,4,43,22,LS,115,42,46,BT
9,712,9,4,50,28,LS,115,46,18,BT
10,712,10,4,53,42,LS,115,40,42,BT
11,712,11,4,55,55,LS,115,38,16,BT
12,712,12,4,56,20,LS,115,37,51,BT
13,712,13,6,56,26,LS,116,16,20,BT
14,712,14,7,12,9,LS,115,53,13,BT
15,712,15,7,56,8,LS,114,25,26,BT
16,712,16,5,52,43,LS,106,2,26,BT
17,712,17,5,34,51,LS,105,49,44,BT
